LS,label(大)
1-1,AQ GSI S-Speech GP Music Music Music Music Music Music GF S-Speech GF S-Speech S-Speech GOI GF AQ GF GF AQ GSI GSI GSI GSI GOI Music AQ Music GSI Music Music GSI Music Music AQ GF GF GF Music GP AQ GP S-Speech GF Music GF GF GF Music S-Speech GF GF Music Music GF GP GF GF GSI Music AQ Music GF GF Music GF GF GF GP Music GP GP Music GF GF S-Speech GP GP GP Music GP GP GP GF S-Speech Music S-Speech GSI GSI GSI Music GSI S-Speech GSI S-Speech GSI
1-2,Music GOI GF Music GSI Music GSI AQ GSI S-Speech AQ Music S-Speech GSI GSI AQ Music GSI Music S-Speech Music GF S-Speech GF GF S-Speech GF S-Speech GF GP GF Music GF GF Music GF GF S-Speech GP Music GF S-Speech S-Speech S-Speech S-Speech GSI S-Speech GSI S-Speech GOI GOI S-Speech Music GOI Music S-Speech GOI GOI S-Speech GOI Music S-Speech GSI AQ S-Speech GP S-Speech GP Music S-Speech GP S-Speech Music S-Speech GP Music GP GP S-Speech GP S-Speech Music S-Speech GSI Music S-Speech GSI GF S-Speech Music GF GF Music GF S-Speech GF
2-1,Music GP S-Speech S-Speech GF S-Speech GP S-Speech GF S-Speech GP S-Speech GA S-Speech GOI S-Speech GF S-Speech GA S-Speech GA S-Speech S-Speech GA S-Speech S-Speech GF GA S-Speech GA S-Speech Music Music GP S-Speech GP
2-2,Music AQ S-Speech Music AQ AQ S-Speech Music GP Music Music GP GSI S-Speech Music GSI S-Speech AQ S-Speech Music AQ S-Speech S-Speech Music S-Speech GP S-Speech AQ Music GP Music S-Speech
3-1,Music GP GF GF GP S-Speech GF GP GF S-Speech GSI GP S-Speech GA S-Speech S-Speech GP Music GF S-Speech GF GSI GSI S-Speech GP Music GF S-Speech GP S-Speech GP S-Speech S-Speech GA S-Speech GSI Music GA S-Speech Music S-Speech GSI GSI GSI GOI GSI S-Speech GP S-Speech GSI AQ S-Speech Music S-Speech GOI S-Speech S-Speech GP S-Speech S-Speech S-Speech GSI S-Speech GSI Music S-Speech AQ GSI S-Speech GP S-Speech GP S-Speech Music S-Speech GP S-Speech S-Speech GP S-Speech GP S-Speech Music GP S-Speech GF S-Speech GSI S-Speech GSI Music S-Speech GF S-Speech GP S-Speech GP GP S-Speech Music GF S-Speech S-Speech GP S-Speech S-Speech GSI S-Speech Music GOI S-Speech Music GOI Music GOI Music GP S-Speech GOI S-Speech S-Speech GOI S-Speech GOI S-Speech Music S-Speech GSI GP S-Speech GA S-Speech GA Music GP GP Music S-Speech GP GP S-Speech GA GF S-Speech GP S-Speech GP GP GP S-Speech S-Speech GSI Music S-Speech GSI GSI S-Speech S-Speech AQ S-Speech AQ S-Speech Music GP S-Speech S-Speech GP S-Speech GOI Music S-Speech GOI GOI S-Speech GOI Music S-Speech S-Speech GP GSI GSI Music GP Music GSI GP S-Speech AQ S-Speech GSI GSI S-Speech GOI S-Speech Music S-Speech Music GP S-Speech Music GA S-Speech S-Speech Music S-Speech GF S-Speech Music S-Speech S-Speech S-Speech Music GF S-Speech S-Speech GSI AQ S-Speech GSI Music GSI S-Speech S-Speech GSI S-Speech GSI GP Music GSI GP Music GP S-Speech Music GSI Music S-Speech GSI
3-2,Music GSI GF S-Speech Music S-Speech AQ S-Speech S-Speech GSI GSI GSI GA S-Speech S-Speech Music S-Speech Music S-Speech AQ S-Speech GSI S-Speech GSI Music S-Speech S-Speech Music GSI S-Speech Music GSI S-Speech S-Speech GSI S-Speech GP Music S-Speech Music Music S-Speech Music S-Speech S-Speech GSI S-Speech Music S-Speech S-Speech GP S-Speech GP S-Speech Music S-Speech GF GP S-Speech GSI S-Speech Music GOI Music S-Speech GOI S-Speech GOI S-Speech S-Speech S-Speech S-Speech S-Speech S-Speech S-Speech GSI S-Speech GOI GOI GOI S-Speech GOI S-Speech S-Speech Music Music GOI S-Speech Music GOI S-Speech S-Speech S-Speech AQ S-Speech GSI S-Speech GA S-Speech Music GA GSI S-Speech GF S-Speech S-Speech AQ S-Speech Music S-Speech GF Music GF GF S-Speech GP Music GP S-Speech GSI S-Speech S-Speech S-Speech GOI S-Speech Music GSI S-Speech Music GA S-Speech GP S-Speech Music GSI GOI S-Speech Music GF S-Speech GSI GSI S-Speech Music S-Speech GP GP Music S-Speech GSI S-Speech GSI S-Speech S-Speech Music S-Speech Music S-Speech GSI Music Music GSI S-Speech AQ S-Speech GF Music GF S-Speech GF GP Music S-Speech S-Speech AQ Music AQ Music AQ S-Speech Music GF S-Speech S-Speech GSI Music S-Speech GP Music S-Speech GP S-Speech GP S-Speech Music GP S-Speech GP S-Speech S-Speech GP S-Speech Music GSI S-Speech Music S-Speech GSI Music GSI S-Speech
3-3,Music GP S-Speech GP GP GSI S-Speech GSI S-Speech GF S-Speech S-Speech GF S-Speech Music S-Speech S-Speech GA S-Speech S-Speech GSI S-Speech S-Speech GSI S-Speech GSI S-Speech GF S-Speech S-Speech S-Speech GSI S-Speech Music S-Speech Music GSI S-Speech S-Speech Music Music GSI GSI S-Speech AQ S-Speech AQ S-Speech Music AQ S-Speech S-Speech GSI Music GSI S-Speech S-Speech Music GSI S-Speech S-Speech GSI S-Speech GP GSI GF S-Speech GP GP S-Speech GP GSI GF S-Speech S-Speech Music GF GF GP GP GA S-Speech GA Music GP S-Speech GP GSI GSI S-Speech GSI GSI Music Music GP GOI S-Speech GP S-Speech GP GSI S-Speech GSI S-Speech Music GSI GSI S-Speech S-Speech GSI S-Speech Music GSI GSI GSI S-Speech GSI S-Speech GSI GF GF GF S-Speech GP GP S-Speech GP Music GP S-Speech GF GF Music GSI S-Speech GSI GSI S-Speech GF GA S-Speech GSI S-Speech GSI Music GP GSI S-Speech GSI GSI S-Speech GP S-Speech S-Speech GP S-Speech Music S-Speech S-Speech AQ Music Music GSI GP S-Speech GSI GSI S-Speech S-Speech GSI GF Music S-Speech GSI S-Speech S-Speech S-Speech GP GP GF S-Speech GOI GA Music GA S-Speech Music GSI S-Speech GA GF S-Speech GF Music S-Speech S-Speech GF GF S-Speech GSI S-Speech Music GSI
3-4,GA S-Speech Music S-Speech GA GF S-Speech S-Speech Music GP S-Speech S-Speech S-Speech S-Speech Music GP S-Speech Music GF Music GP S-Speech Music GSI S-Speech GSI GF GP S-Speech Music GF S-Speech Music Music GSI S-Speech S-Speech GSI S-Speech Music GSI Music S-Speech GSI GSI S-Speech GSI S-Speech S-Speech Music S-Speech GF S-Speech Music S-Speech S-Speech GF GSI GF S-Speech Music GSI S-Speech GSI S-Speech Music GSI S-Speech S-Speech GSI S-Speech Music S-Speech GSI GSI S-Speech S-Speech GSI GSI Music S-Speech GSI GSI GSI Music GSI S-Speech GSI S-Speech GSI S-Speech Music GOI GP S-Speech GP S-Speech GP Music GP GP S-Speech Music S-Speech GSI GF S-Speech GSI GSI S-Speech GF S-Speech GF S-Speech S-Speech Music S-Speech GA GSI S-Speech Music GSI S-Speech GSI S-Speech S-Speech Music S-Speech Music GSI S-Speech Music GP GSI Music S-Speech S-Speech GSI GP S-Speech GP GP GP GSI Music S-Speech Music S-Speech GSI S-Speech S-Speech GSI GSI GP S-Speech Music S-Speech Music AQ S-Speech Music GSI GF S-Speech Music S-Speech Music GF S-Speech Music GSI S-Speech Music GP GP GF GSI S-Speech GSI GSI S-Speech GF GF S-Speech Music GSI S-Speech GF GSI GP GF S-Speech Music GP S-Speech GSI GP Music S-Speech GP Music GF Music GP S-Speech Music S-Speech GP Music S-Speech Music GP Music Music GP GP GF GF GSI GSI S-Speech Music GP Music GP Music Music GP S-Speech Music GP S-Speech GSI S-Speech GP S-Speech GSI GSI GSI S-Speech GP Music GP S-Speech GSI
4-1,Music S-Speech Music S-Speech GSI S-Speech Music GSI Music Music Music Music Music Music Music Music Music Music Music Music Music Music Music Music Music Music S-Speech GSI AQ GSI S-Speech GSI S-Speech Music S-Speech GA S-Speech S-Speech Music GA S-Speech S-Speech S-Speech Music GF Music GP S-Speech GF GP Music GF S-Speech Music GSI S-Speech GP GSI GSI S-Speech GP S-Speech S-Speech S-Speech GP Music GP S-Speech GF S-Speech GSI GP Music S-Speech Music S-Speech GF S-Speech S-Speech Music GP GP GF GSI GSI GA Music Music GA Music GF S-Speech GA S-Speech S-Speech S-Speech S-Speech S-Speech
4-2,S-Speech GSI Music Music Music Music Music Music Music Music Music Music Music Music S-Speech Music Music Music Music Music GF S-Speech S-Speech S-Speech Music S-Speech Music GF S-Speech GA S-Speech GF Music GA GA S-Speech S-Speech GSI S-Speech GA S-Speech Music S-Speech GF S-Speech GF GA S-Speech Music GA GA GA S-Speech GA GSI S-Speech GA S-Speech S-Speech GP S-Speech GSI GP Music S-Speech GSI GF S-Speech GSI GSI Music GP S-Speech S-Speech GSI GSI GSI S-Speech S-Speech S-Speech GSI Music GSI GP GP S-Speech GF S-Speech GSI GP Music GSI GF GP S-Speech S-Speech Music GF GF GP S-Speech GF S-Speech GF Music S-Speech GF Music S-Speech GP S-Speech S-Speech Music GSI GP GSI GF S-Speech GP S-Speech GP GP S-Speech GSI GP S-Speech GP Music S-Speech S-Speech GSI S-Speech GSI GP S-Speech S-Speech Music GSI GA S-Speech
